source,target
1,168
1,98
2,469
2,239
3,49
3,2575
4,1320
4,793
4,2424
5,1272
5,512
5,2424
6,231
6,1628
7,285
7,890
8,93
8,442
8,2209
9,201
9,4580
9,1303
10,7382
10,1028
11,1310
11,90
12,617
12,1309
13,890
13,190
14,45
14,395
14,117
15,178
15,621
16,1011
16,46
17,466
17,216
18,437
18,168
19,77
19,642
19,66
19,31
20,743
20,925
21,188
21,1319
22,274
22,195
23,333
23,1156
23,2
23,239
24,2114
24,1471
25,333
25,437
26,3322
26,2533
27,666
27,98
27,1752
28,498
28,55
29,432
29,706
29,390
30,893
30,572
31,117
31,131
31,48
31,66
32,826
32,43
33,1153
33,122
33,482
34,8800
34,99
35,2702
35,514
36,72
36,546
37,1587
37,2193
37,2584
38,188
38,1573
39,924
39,262
40,75
40,3103
40,1445
41,7008
41,3245
42,1293
42,3955
43,561
43,32
43,1316
43,2142
43,621
44,6740
44,3892
45,265
45,189
46,562
46,16
47,476
47,312
47,30
48,131
48,184
49,56
49,992
50,2089
50,76
50,158
51,183
51,5657
51,827
51,134
51,7222
52,6430
52,6882
53,2738
53,3403
54,1084
54,1878
55,317
55,2350
56,49
56,992
56,6466
57,1153
57,1976
58,2798
58,54
59,740
59,444
60,398
60,189
60,103
61,6348
61,1786
62,1365
62,372
62,2240
63,3023
63,3551
63,2895
63,3101
64,1101
64,2388
64,570
65,3451
65,1957
65,8709
66,48
66,416
67,1752
67,250
67,98
68,466
68,230
68,216
69,4850
69,280
69,3724
70,2499
70,7382
70,1041
71,116
71,2098
72,36
72,1687
72,195
73,1942
73,9527
74,2843
74,735
75,40
75,3103
76,313
76,486
77,322
77,1106
78,1072
78,2075
78,2280
78,9791
79,485
79,2024
79,597
79,887
80,158
80,1452
80,508
81,6
81,198
82,136
82,901
83,3889
83,3219
84,380
84,2124
85,184
85,66
86,2061
86,2118
86,5327
87,2089
87,76
88,3560
88,269
89,155
89,217
90,272
90,767
90,100
90,924
90,337
91,435
91,7592
92,1802
92,723
93,442
93,592
93,2209
93,826
94,279
94,284
95,921
95,2193
96,2692
96,99
96,6481
97,5732
97,413
98,67
98,27
99,8749
99,843
100,486
100,90
101,103
101,60
101,520
101,189
102,2247
102,5216
103,520
103,398
104,172
104,255
105,7017
105,791
106,1083
106,1433
106,5198
106,2063
107,4089
107,3067
108,1973
108,4473
108,761
109,625
109,325
110,47
110,312
110,1247
111,5011
111,2999
112,144
112,795
113,1028
113,6349
113,3535
114,3797
114,1482
115,2958
115,1911
116,71
116,2098
117,14
117,131
118,3282
118,1060
119,196
119,2939
120,1481
120,159
121,3033
121,2024
122,33
122,742
123,3397
123,7904
124,5220
124,381
125,6280
125,3595
126,442
126,2209
127,741
127,310
128,7751
128,3987
128,8362
129,2098
129,577
129,341
130,2355
130,301
131,184
131,117
131,31
131,85
131,395
132,3892
132,4600
133,1695
133,6518
134,309
134,319
135,198
135,890
136,141
136,866
137,867
137,146
137,1100
138,361
138,540
139,6694
139,69
139,4850
140,612
140,672
141,1334
141,726
142,25
142,836
143,618
143,2579
144,112
144,198
145,8609
145,7190
146,1100
146,940
146,137
147,6137
147,9565
148,2478
148,192
149,1814
149,8925
150,178
150,621
151,214
151,4911
151,581
152,5231
152,420
153,319
153,309
154,2114
154,2113
155,662
155,217
155,1665
155,181
156,7963
156,3085
157,391
157,627
157,251
158,1099
158,508
159,6863
159,1481
159,226
160,346
160,4212
161,687
161,1714
161,1687
162,213
162,6454
163,2185
163,5450
164,1153
164,625
165,1319
165,1573
166,2714
166,6588
167,901
167,2251
168,1
168,16
168,18
169,582
169,3386
170,8609
170,7190
171,2079
171,1354
172,255
172,192
173,256
173,87
173,951
174,925
174,743
174,261
175,311
175,480
176,398
176,389
177,4582
177,1580
178,150
178,15
178,416
178,85
178,289
179,1011
179,94
180,116
180,2098
180,129
181,677
181,217
182,7111
182,153
183,827
183,5126
183,51
184,48
184,85
184,746
184,2209
184,442
185,2365
185,1714
185,11
186,1849
186,2915
187,6273
187,781
187,8396
187,4641
188,38
188,1573
188,243
189,45
189,662
190,678
190,473
190,523
190,119
190,135
190,13
191,2076
191,929
192,1710
192,172
192,2478
193,1290
193,222
193,925
193,488
194,6405
194,6023
194,5033
194,5783
195,885
195,72
196,119
196,473
197,1132
197,2575
197,9358
197,3
198,135
198,734
199,2259
199,1237
199,5118
200,672
200,140
201,1303
201,9
202,434
202,2283
203,4652
203,861
204,8867
204,7829
205,989
205,867
206,4190
206,4973
206,423
207,4763
207,3602
208,8976
208,1040
208,9858
208,6940
209,437
209,67
210,418
210,419
211,689
211,2679
212,270
212,538
213,162
213,301
214,581
214,2065
215,2617
215,318
216,17
216,68
217,1665
217,181
217,89
217,677
218,334
218,676
219,141
219,726
219,307
220,9139
220,9011
220,1516
221,7537
221,3598
221,9966
222,427
222,488
222,702
223,5888
223,3703
224,7200
224,415
225,458
225,2093
225,668
226,1622
226,159
227,343
227,2014
228,3085
228,465
229,1366
229,929
229,1727
229,55
229,317
230,466
230,17
230,362
231,6
231,1419
231,1628
231,285
232,515
232,1576
232,794
233,1455
233,4836
234,2915
234,1849
235,318
235,2617
236,790
236,2674
237,3704
237,913
238,436
238,848
239,2
239,3155
240,8582
240,4510
240,4753
241,5
241,2424
241,512
242,336
242,4447
243,140
243,368
243,2
243,333
244,1490
244,6707
245,2210
245,341
245,709
245,1472
245,283
246,415
246,8443
247,9904
247,2538
248,4777
248,301
248,2985
249,2131
249,2885
250,1752
250,67
251,1348
251,5446
252,2379
252,930
252,1024
253,1816
253,673
254,4241
254,9692
255,172
255,3019
256,371
256,951
256,173
257,2867
257,1519
258,1024
258,1582
258,515
258,794
259,9960
259,1810
260,4351
260,1750
261,174
261,1622
262,256
262,39
263,878
263,1020
264,4347
264,4670
265,395
265,117
266,336
266,4447
267,666
267,562
268,4176
268,4918
269,605
269,88
270,612
270,200
271,3022
271,1749
271,809
272,1011
272,90
272,11
272,284
272,179
272,1714
273,1926
273,425
274,885
274,625
275,6278
275,2804
276,2839
276,789
276,4750
277,172
277,192
278,4024
278,8318
279,687
279,94
280,1491
280,7245
281,123
281,922
282,877
282,842
282,1316
283,1084
283,245
284,279
284,94
285,81
285,231
285,7
286,302
286,3843
287,5141
287,6680
287,8508
288,1577
288,253
289,150
289,178
290,2739
290,698
291,2579
291,1173
292,3076
292,4284
292,1679
293,79
293,887
294,743
294,3703
295,893
295,1834
296,6702
296,661
296,1274
297,2794
297,385
298,3915
298,375
299,3799
299,7362
300,318
300,2617
301,2355
301,213
302,6649
302,286
303,7706
303,3009
303,8934
304,1514
304,546
305,3923
305,3850
306,1538
306,2989
307,793
307,1334
308,411
308,4318
309,134
309,153
310,3707
310,127
311,2
311,469
312,2950
312,47
313,50
313,76
313,760
314,878
314,1968
315,3361
315,9834
316,4788
316,747
316,1730
317,1833
317,1366
318,300
318,235
319,153
319,7111
320,1467
320,404
320,295
320,572
321,5734
321,3140
322,642
322,77
323,4368
323,494
324,682
324,641
325,1153
325,1976
325,164
326,2824
326,273
327,685
327,1002
327,1453
328,1675
328,4838
329,2175
329,5274
330,4615
330,9428
331,2046
331,7017
332,2834
332,3293
332,7338
333,25
333,243
334,5426
334,2443
335,3528
335,6044
335,7350
335,4336
336,242
336,266
336,2383
337,562
337,666
338,2058
338,2322
338,326
339,1545
339,626
340,6985
340,3438
340,8331
341,792
341,977
342,9688
342,7455
343,596
343,227
343,6867
343,956
344,6257
344,6929
345,447
345,648
345,3636
346,560
346,1706
347,5804
347,978
347,3364
347,9641
348,3579
348,1049
348,926
349,9141
349,2969
349,2071
350,561
350,43
350,2142
350,32
351,5112
351,460
352,836
352,359
353,4777
353,79
354,8163
354,3853
355,1631
355,427
356,3939
